Legajo;Estado;Estructura;Convenio;Categoria;ID_Cat;Ingreso;Sexo;provincia;puesto;piramide;Titulo ;ID_PuestoBasico;Sindicato;ID_sindicato;Enero;Febrero;Marzo
2464;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;16/5/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2465;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;16/5/2017;M;FORM                    ;Analista de Soporte Tecnico;6;SI;AST     ;Fuera de Convenio;4;427649;555944;667133
2483;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;29/5/2017;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2486;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;12/6/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2492;ACTI;Dentro de convenio;CC-781  ;27 Hs. CATEGORIA OP. A CCT 781;OP27;19/6/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;226935,62;251898,54;251898,54
2499;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;3/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2500;ACTI;Dentro de convenio;CC-781  ;25 Hs. CATEGORIA OP. A CCT 781;OP25;27/3/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;210125,6;233239,42;233239,42
2502;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;27/3/2017;F;CBA                     ;Coordinador de Soporte Tecnico;4;SI;CST     ;Fuera de Convenio;4;662615;861400;1033680
2503;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;27/3/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2510;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;10/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 Afiliado;11;252150,86;279887,46;279887,46
2512;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;10/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;302580,88;335864,78;335864,78
2513;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;10/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2519;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;18/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2521;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;18/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2529;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;24/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2532;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;24/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2533;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;24/7/2017;M;FORM                    ;Analista Soporte Estratégico Operativo;6;SI;SEO     ;Fuera de Convenio;4;427649;555944;667133
2534;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;24/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2541;ACTI;Dentro de convenio;CC-781  ;24 Hs. CATEGORIA OP. A CCT 781;OP24;17/10/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;201720,56;223909,82;223909,82
2544;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;17/10/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;302580,88;335864,78;335864,78
2555;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;17/10/2017;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2559;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;1/11/2017;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2564;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;1/11/2017;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2565;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;1/11/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2568;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;1/11/2017;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2580;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;16/11/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2588;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;19/12/2017;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2591;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;2/1/2018;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2592;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;12/1/2018;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2601;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;12/1/2018;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;302580,88;335864,78;335864,78
2603;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;6/11/2018;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2610;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;6/11/2018;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2613;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;6/11/2018;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2614;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;6/11/2018;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2617;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;6/11/2018;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;446398;580317;696380
2618;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;6/11/2018;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2623;ACTI;Dentro de convenio;ATCC    ;35,0 Hs. CATEGORIA 3 CCT688/14;H03 ;3/12/2018;F;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;306225,15;339909,92;339909,92
2627;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;3/12/2018;M;CBA                     ;Operador ;8;NO;CDT     ;ATACC No Afiliado;3;314974,44;349621,63;349621,63
2628;ACTI;Dentro de convenio;CC-781  ;25 Hs. CATEGORIA OP. A CCT 781;OP25;3/12/2018;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;210125,6;233239,42;233239,42
2631;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;3/12/2018;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;302580,88;335864,78;335864,78
2634;ACTI;Dentro de convenio;CC-781  ;20 Hs. CATEGORIA OP. A CCT 781;OP20;3/12/2018;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;168100,54;186591,6;186591,6
2637;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;3/12/2018;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;302580,88;335864,78;335864,78
2638;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;3/12/2018;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2639;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;3/12/2018;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2642;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;23/1/2019;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;446398;580317;696380
2646;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;23/1/2019;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2648;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;23/1/2019;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2653;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;28/1/2019;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2656;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;4/2/2019;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2661;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;19/2/2019;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;302580,88;335864,78;335864,78
2662;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;19/2/2019;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2663;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;19/2/2019;M;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2669;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;19/2/2019;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2672;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;19/2/2019;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2675;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;25/3/2019;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;Fuera de Convenio;4;446398;580317;696380
2676;ACTI;Dentro de convenio;CC-781  ;20 Hs. CATEGORIA OP. A CCT 781;OP20;25/3/2019;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;168100,54;186591,6;186591,6
2679;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;25/3/2019;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
2680;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;25/3/2019;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2681;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;25/3/2019;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;294175,95;326535,3;326535,3
2682;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;25/3/2019;F;FORM                    ;Operador ;8;NO;CDT     ;SEC. Formosa CC-781 No Afiliad;10;252150,86;279887,46;279887,46
